timestamp,heartrate,rmssd,sdnn,alpha1,filtered,samples,droppedPercent
1622959867631,,0,,1.0,0,1,0
1622959869230,,2,,1.0,0,3,0
1622959869693,,2,,1.0,0,4,0
1622959871297,,1,,1.0,0,6,0
1622959872272,,5,,1.0,0,8,0
1622959872636,,4,,1.0,0,9,0
1622959874307,,4,,1.0,0,11,0
1622959874675,,5,,1.0,0,12,0
1622959876323,,5,,1.0,0,14,0
1622959876670,,5,,1.0,0,15,0
1622959878322,,5,,1.0,0,17,0
1622959879333,,5,,1.0,0,19,0
1622959879671,,5,,1.0,0,20,0
1622959881289,,5,,1.0,0,22,0
1622959881640,,5,,1.0,0,23,0
1622959883283,,5,,1.0,0,25,0
1622959884253,,5,,1.0,0,27,0
1622959884647,,5,,1.0,0,28,0
1622959886252,,5,,1.0,0,30,0
1622959886635,,5,,1.0,0,31,0
1622959888335,,5,,1.0,0,33,0
1622959888664,,6,,1.83,0,34,0
1622959890261,,6,,1.83,0,36,0
1622959891246,,6,,1.83,0,38,0
1622959891651,,6,,1.83,0,39,0
1622959893233,,6,,1.83,0,41,0
1622959894216,,6,,1.83,0,43,0
1622959895205,,6,,1.83,0,45,0
1622959895604,,6,,1.83,0,46,0
1622959897709,,6,,1.83,0,48,0
1622959898119,,7,,1.83,0,49,0
1622959899767,,7,,1.83,0,51,0
1622959900151,,7,,1.83,0,52,0
1622959901750,,7,,1.83,0,54,0
1622959902079,,7,,1.83,0,55,0
1622959903677,,7,,1.83,0,57,0
1622959904641,,7,,1.83,0,59,0
1622959905609,,7,,1.83,0,61,0
1622959905980,,7,,1.83,0,62,0
1622959907546,,7,,1.83,0,64,0
1622959908577,,8,,1.79,0,66,0
1622959909005,,8,,1.79,0,67,0
1622959910663,,8,,1.79,0,69,0
1622959911182,,8,,1.79,0,70,0
1622959912671,,8,,1.79,0,72,0
1622959913018,,8,,1.79,0,73,0
1622959914674,,8,,1.79,0,75,0
1622959914974,,8,,1.79,0,76,0
1622959916590,,8,,1.79,0,78,0
1622959916950,,8,,1.79,0,79,0
1622959918567,,8,,1.79,0,81,0
1622959919022,,8,,1.79,0,82,0
1622959920621,,8,,1.79,0,84,0
1622959920944,,8,,1.79,0,85,0
1622959922613,,8,,1.79,0,87,0
1622959923905,,8,,1.79,0,88,0
1622959924599,,8,,1.79,0,90,0
1622959925870,,8,,1.79,0,91,0
1622959926526,,8,,1.79,0,93,0
1622959927456,,8,,1.79,0,95,0
1622959927815,,8,,1.85,0,96,0
1622959929422,,8,,1.85,0,98,0
1622959929787,,8,,1.85,0,99,0
1622959931441,,8,,1.85,0,101,0
1622959931798,,8,,1.85,0,102,0
1622959933462,,8,,1.85,0,104,0
1622959933795,,8,,1.85,0,105,0
1622959935457,,8,,1.85,0,107,0
1622959935778,,8,,1.85,0,108,0
1622959937421,,8,,1.85,0,110,0
1622959937721,,8,,1.85,0,111,0
1622959939362,,8,,1.85,0,113,0
