timestamp,rr
1622959867016,615,0
1622959868003,615,615
1622959868618,612,1230
1622959869082,611,1842
1622959870075,611,2453
1622959870686,611,3064
1622959871023,621,3675
1622959871644,628,4296
1622959872009,627,4924
1622959873044,629,5551
1622959873673,634,6180
1622959874033,642,6814
1622959875024,648,7456
1622959875672,651,8104
1622959876018,652,8755
1622959877013,652,9407
1622959877665,657,10059
1622959878037,651,10716
1622959878688,645,11367
1622959879028,643,12012
1622959880016,638,12655
1622959880654,635,13293
1622959881009,631,13928
1622959882044,625,14559
1622959882669,614,15184
1622959883035,608,15798
1622959883643,610,16406
1622959884032,615,17016
1622959885013,618,17631
1622959885631,621,18249
1622959886006,629,18870
1622959887046,643,19499
1622959887689,646,20142
1622959888029,635,20788
1622959889020,623,21423
1622959889643,618,22046
1622959890013,615,22664
1622959890628,618,23279
1622959891041,610,23897
1622959892032,604,24507
1622959892636,597,25111
1622959893025,592,25708
1622959893617,599,26300
1622959894015,594,26899
1622959894609,596,27493
1622959895008,596,28089
1622959896491,603,28685
1622959897094,615,29288
1622959897478,641,29903
1622959898468,646,30544
1622959899114,653,31190
1622959899494,657,31843
1622959900447,657,32500
1622959901104,646,33157
1622959901447,632,33803
1622959902430,629,34435
1622959903059,618,35064
1622959903427,610,35682
1622959904037,604,36292
1622959904427,597,36896
1622959905024,585,37493
1622959905398,582,38078
1622959906390,574,38660
1622959906964,582,39234
1622959907381,589,39816
1622959907970,607,40405
1622959908390,615,41012
1622959909372,639,41627
1622959910011,652,42266
1622959910515,667,42918
1622959911347,663,43585
1622959912010,661,44248
1622959912348,670,44909
1622959913349,670,45579
1622959914019,655,46249
1622959914327,647,46904
1622959915308,643,47551
1622959915951,639,48194
1622959916306,644,48833
1622959917279,639,49477
1622959917918,649,50116
1622959918357,665,50765
1622959919266,674,51430
1622959919940,681,52104
1622959920267,677,52785
1622959921250,682,53462
1622959921932,681,54144
1622959923229,676,54825
1622959923274,666,55501
1622959923940,659,56167
1622959925209,661,56826
1622959925236,646,57487
