,timestamp,heartrate,rmssd,sdnn,alpha1,filtered
0,0,94.03,7.43,21.54,1.7518902116443789,0
1,5,94.0,7.5,21.37,1.7186085210264712,0
2,10,94.17,7.51,21.48,1.7552776140069026,1
3,15,94.35,7.52,22.64,1.7745201591687036,0
4,20,94.38,7.63,22.78,1.7485449527092272,1
5,25,94.67,7.69,25.82,1.7504327227208045,1
6,30,94.7,7.69,26.27,1.7780020292120096,0
7,35,94.81,7.65,26.12,1.6387836796936361,0
8,40,94.47,7.41,24.44,1.6652725867345557,1
9,45,94.61,6.95,23.81,1.691247203672662,1
10,50,94.69,6.89,23.75,1.6595551699008713,0
11,55,94.97,6.81,22.04,1.6089684578342625,1
12,60,95.02,6.68,21.77,1.7032392305365416,0
13,65,95.01,6.52,21.56,1.5931978050514508,1
14,70,95.14,6.55,20.58,1.647406330269428,0
15,75,95.04,6.79,21.57,1.5895247046905236,0
16,80,95.01,7.07,22.14,1.6476047509063112,1
17,85,94.99,7.35,22.7,1.6353485153238574,1
18,90,95.04,7.35,22.84,1.6745244342771848,0
19,95,95.08,7.4,22.76,1.6967326709851012,0
20,100,95.1,7.39,22.73,1.7350126047709804,0
21,105,95.14,7.32,22.45,1.7156375855479897,0
22,110,95.04,7.3,22.84,1.69757879486795,0
23,115,95.03,7.29,22.87,1.7091363524265257,0
24,120,94.92,7.3,23.01,1.6795939604493106,1
25,125,94.73,7.19,23.25,1.701458322141546,0
26,130,94.57,7.16,23.35,1.667728016305072,1
27,135,94.21,7.11,22.56,1.6552404236340121,1
28,140,93.86,6.96,23.33,1.6698859790678204,1
29,145,93.23,6.88,18.23,1.6797204017719116,1
30,150,93.01,6.79,16.29,1.649249392383512,0
31,155,92.83,6.82,16.04,1.6594405724612502,0
32,160,92.66,7.03,16.94,1.5991321617579595,1
33,165,92.43,7.18,17.13,1.6285958865276395,1
34,170,92.16,7.16,17.47,1.6267179010393424,1
35,175,91.97,7.19,17.45,1.6674467562923212,0
36,180,91.81,7.3,17.15,1.6370774929162333,0
37,185,91.84,7.42,17.28,1.6164877073882555,0
38,190,91.94,7.28,17.59,1.574951969427794,2
39,195,91.97,7.18,17.12,1.5275940346355144,4
40,200,91.67,7.08,19.1,1.6789312878281455,3
41,205,91.46,6.96,18.77,1.5122457891192829,4
42,210,91.02,6.8,20.23,1.6472815762141237,4
43,215,90.75,7.07,20.25,1.5925096699763261,4
44,220,90.42,7.06,21.23,1.6256779444332459,4
45,225,90.29,7.1,20.91,1.6095897973790219,3
46,230,90.16,7.11,20.88,1.6565506177224023,3
47,235,90.1,7.12,20.99,1.614875221400108,3
48,240,89.9,7.05,20.62,1.6585088544727657,3
49,245,89.93,7.22,20.77,1.5841366101394836,3
50,250,89.96,7.26,21.14,1.6156361513484143,4
51,255,90.11,7.29,21.91,1.5810651500297013,3
52,260,90.34,7.25,22.91,1.5960320356220743,4
53,265,90.45,7.37,23.57,1.5987280155686905,3
54,270,90.42,7.33,23.59,1.6129431365432956,3
55,275,90.52,7.23,23.96,1.6477707487876685,3
56,280,90.81,7.16,24.77,1.6439477547627879,4
57,285,90.87,7.2,24.97,1.6267427579606442,3
58,290,91.05,7.26,24.94,1.6403135183014619,4
59,295,91.12,7.24,24.78,1.7026800050138182,3
60,300,91.29,7.0,25.24,1.7552804356169418,3
61,305,91.4,6.9,25.88,1.6449972541616873,3
62,310,91.53,6.85,27.32,1.7462997661194268,2
63,315,91.86,6.69,29.7,1.6626471759931982,1
64,320,92.35,6.52,28.88,1.6911468863846717,1
